Date,Product,Quantity,Price,Region,Total Sales,Month
2023-09-09,Headphones,4,229.46940565015754,West,917.8776226006302,9
2023-07-09,Tablet,1,245.08433191133392,East,245.08433191133392,7
2023-10-23,Laptop,4,384.8191893496019,South,1539.2767573984077,10
2023-08-01,Headphones,1,162.88723730599753,South,162.88723730599753,8
2023-07-27,Laptop,5,132.95015344911653,North,664.7507672455827,7
2023-08-25,Laptop,4,86.39283497773894,East,345.57133991095577,8
2023-12-04,Phone,8,242.74151372304848,South,1941.9321097843879,12
2023-02-22,Headphones,8,359.8249553444149,East,2878.599642755319,2
2023-10-07,Headphones,7,76.18711797879962,East,533.3098258515973,10
2023-08-05,Phone,3,461.8461774319162,North,1385.5385322957486,8
2023-09-09,Tablet,1,249.058503378997,South,249.058503378997,9
2023-07-07,Laptop,1,157.90431162083144,West,157.90431162083144,7
2023-02-10,Mouse,3,92.24298053658129,North,276.72894160974386,2
2023-06-06,Laptop,6,132.2896986982883,South,793.7381921897298,6
2023-01-15,Laptop,7,470.57629880286936,South,3294.0340916200857,1
2023-10-28,Tablet,6,337.2217672295077,South,2023.3306033770461,10
2023-03-06,Laptop,6,282.513315841955,South,1695.0798950517299,3
2023-12-11,Phone,6,345.7000978250751,South,2074.2005869504505,12
2023-11-23,Phone,3,246.05280440505098,East,738.1584132151529,11
2023-01-09,Headphones,6,378.5176924528183,North,2271.10615471691,1
2023-12-10,Mouse,8,71.47225746124195,East,571.7780596899356,12
2023-05-09,Laptop,2,304.71674472233434,West,609.4334894446687,5
